Ausgabe,Datum,Locales?,Neues aus Köln?,Wochentag
1891_4_23_314351.txt,1891-04-23,0,0,3
1891_5_12_314373.txt,1891-05-12,0,0,1
1891_4_2_314052.txt,1891-04-02,1,0,3
1891_2_25_314012.txt,1891-02-25,2,0,2
1891_8_7_314469.txt,1891-08-07,0,0,4
1891_9_7_314505.txt,1891-09-07,1,0,0
1891_6_13_314408.txt,1891-06-13,2,0,5
1891_12_30_314633.txt,1891-12-30,0,0,2
1891_4_28_314357.txt,1891-04-28,0,0,1
1891_6_23_314420.txt,1891-06-23,0,0,1
1891_1_25_313979.txt,1891-01-25,0,0,6
1891_7_3_314430.txt,1891-07-03,0,0,4
1891_11_16_314585.txt,1891-11-16,0,0,0
1891_11_23_314593.txt,1891-11-23,1,0,0
1891_9_21_314521.txt,1891-09-21,1,0,0
1891_7_28_314458.txt,1891-07-28,1,0,1
1891_12_29_314632.txt,1891-12-29,1,0,1
1891_10_5_314537.txt,1891-10-05,0,0,0
1891_11_17_314586.txt,1891-11-17,2,0,1
1891_12_7_314609.txt,1891-12-07,0,0,0
1891_8_23_314487.txt,1891-08-23,1,0,6
1891_12_21_314626.txt,1891-12-21,1,0,0
1891_5_29_314391.txt,1891-05-29,0,0,4
1891_1_5_313957.txt,1891-01-05,0,0,0
1891_11_20_314589.txt,1891-11-20,0,0,4
1891_8_21_314485.txt,1891-08-21,1,0,4
1891_11_10_314578.txt,1891-11-10,1,0,1
1891_2_8_313994.txt,1891-02-08,1,0,6
1891_8_11_314474.txt,1891-08-11,0,0,1
1891_5_5_314365.txt,1891-05-05,0,0,1
1891_12_13_314615.txt,1891-12-13,3,0,6
1891_12_1_314602.txt,1891-12-01,2,0,1
1891_8_8_314470.txt,1891-08-08,0,0,5
1891_11_7_314574.txt,1891-11-07,1,0,5
1891_10_15_314549.txt,1891-10-15,0,0,3
1891_2_16_314002.txt,1891-02-16,1,0,0
1891_11_22_314591.txt,1891-11-22,1,0,6
1891_1_31_313986.txt,1891-01-31,2,0,5
1891_11_13_314581.txt,1891-11-13,2,0,4
1891_9_14_314513.txt,1891-09-14,1,0,0
1891_11_15_314583.txt,1891-11-15,2,0,6
1891_2_21_314007.txt,1891-02-21,0,0,5
1891_9_30_314531.txt,1891-09-30,1,0,2
1891_2_12_313997.txt,1891-02-12,0,0,3
1891_7_20_314450.txt,1891-07-20,1,0,0
1891_10_11_314544.txt,1891-10-11,0,0,6
1891_12_12_314614.txt,1891-12-12,1,0,5
1891_9_24_314524.txt,1891-09-24,0,0,3
1891_12_3_314604.txt,1891-12-03,1,0,3
1891_5_23_314384.txt,1891-05-23,0,0,5
1891_8_27_314492.txt,1891-08-27,1,0,3
1891_1_3_313954.txt,1891-01-03,0,0,5
1891_12_24_314629.txt,1891-12-24,2,0,3
1891_4_16_314067.txt,1891-04-16,1,0,3
1891_10_24_314559.txt,1891-10-24,2,0,5
1891_6_28_314425.txt,1891-06-28,0,0,6
1891_2_17_314003.txt,1891-02-17,0,0,1
1891_9_17_314516.txt,1891-09-17,0,0,3
