Ausgabe,Datum,Locales?,Neues aus Köln?,Wochentag
1912_8_16_423891.txt,1912-08-16,0,1,4
1912_8_22_423899.txt,1912-08-22,0,1,3
1912_8_24_423901.txt,1912-08-24,0,1,5
1912_8_27_423905.txt,1912-08-27,0,1,1
1912_8_29_423907.txt,1912-08-29,0,1,3
1912_8_30_423908.txt,1912-08-30,0,1,4
1912_9_10_423921.txt,1912-09-10,0,1,1
1912_9_11_423922.txt,1912-09-11,0,1,2
1912_9_12_423923.txt,1912-09-12,0,1,3
1912_9_17_423929.txt,1912-09-17,0,1,1
1912_9_18_423930.txt,1912-09-18,0,1,2
1912_9_24_423937.txt,1912-09-24,0,1,1
1912_9_30_423944.txt,1912-09-30,0,1,0
1912_10_1_423945.txt,1912-10-01,0,1,1
1912_10_2_423946.txt,1912-10-02,0,1,2
1912_10_4_423948.txt,1912-10-04,0,1,4
1912_10_10_423955.txt,1912-10-10,0,1,3
1912_10_22_424036.txt,1912-10-22,0,1,1
1912_10_31_424046.txt,1912-10-31,0,1,3
1912_11_2_424048.txt,1912-11-02,0,1,5
1912_11_4_424051.txt,1912-11-04,0,1,0
1912_11_11_424059.txt,1912-11-11,0,1,0
1912_11_14_424062.txt,1912-11-14,0,1,3
1912_11_16_424064.txt,1912-11-16,0,1,5
1912_11_18_424067.txt,1912-11-18,0,1,0
1912_11_19_424068.txt,1912-11-19,0,1,1
1912_11_20_424069.txt,1912-11-20,0,1,2
1912_11_21_424070.txt,1912-11-21,0,1,3
1912_11_26_424076.txt,1912-11-26,0,1,1
1912_11_30_424080.txt,1912-11-30,0,1,5
1912_12_5_424086.txt,1912-12-05,0,1,3
1912_12_11_424093.txt,1912-12-11,0,1,2
1912_12_15_424098.txt,1912-12-15,0,1,6
1912_12_19_424099.txt,1912-12-19,0,1,3
1912_12_23_424104.txt,1912-12-23,0,1,0
1912_12_24_424105.txt,1912-12-24,0,1,1
1912_12_27_424107.txt,1912-12-27,0,1,4
1912_12_30_424111.txt,1912-12-30,0,1,0
1912_12_31_424112.txt,1912-12-31,0,1,1
1913_1_10_424123.txt,1913-01-10,0,1,4
1913_1_11_424124.txt,1913-01-11,0,1,5
1913_1_14_424128.txt,1913-01-14,0,1,1
1913_1_25_424140.txt,1913-01-25,0,1,5
1913_1_28_424144.txt,1913-01-28,0,1,1
1913_1_29_424145.txt,1913-01-29,0,1,2
1913_1_31_424147.txt,1913-01-31,0,1,4
1913_2_11_424158.txt,1913-02-11,0,1,1
1913_2_12_424159.txt,1913-02-12,0,1,2
1913_2_17_424166.txt,1913-02-17,0,1,0
1913_2_18_424167.txt,1913-02-18,0,1,1
1913_2_19_424168.txt,1913-02-19,0,1,2
1913_2_21_424170.txt,1913-02-21,0,1,4
1913_2_22_424171.txt,1913-02-22,0,1,5
1913_2_26_424176.txt,1913-02-26,0,1,2
1913_2_27_424177.txt,1913-02-27,0,1,3
1913_3_6_424185.txt,1913-03-06,0,1,3
1913_3_8_424187.txt,1913-03-08,0,1,5
1913_3_12_424192.txt,1913-03-12,0,1,2
1913_3_18_424199.txt,1913-03-18,0,1,1
1913_3_21_424202.txt,1913-03-21,0,1,4
1913_3_22_424203.txt,1913-03-22,0,1,5
1913_3_27_424208.txt,1913-03-27,0,1,3
1913_4_2_424215.txt,1913-04-02,0,1,2
1913_4_5_424218.txt,1913-04-05,0,1,5
1913_4_7_424221.txt,1913-04-07,0,1,0
1913_4_8_424222.txt,1913-04-08,0,1,1
1913_4_9_424223.txt,1913-04-09,0,1,2
1913_4_15_424230.txt,1913-04-15,0,1,1
1913_4_18_424234.txt,1913-04-18,0,1,4
1913_4_19_424235.txt,1913-04-19,0,1,5
1913_4_22_424239.txt,1913-04-22,0,1,1
1913_4_24_424241.txt,1913-04-24,0,1,3
1913_4_25_424242.txt,1913-04-25,0,1,4
1913_4_26_424243.txt,1913-04-26,0,1,5
1913_4_28_424246.txt,1913-04-28,0,1,0
1913_4_30_424248.txt,1913-04-30,0,1,2
1913_5_2_424250.txt,1913-05-02,0,1,4
1913_5_5_424254.txt,1913-05-05,0,1,0
1913_5_7_424256.txt,1913-05-07,0,1,2
1913_5_8_424257.txt,1913-05-08,0,1,3
1913_5_9_424258.txt,1913-05-09,0,1,4
1913_5_14_424263.txt,1913-05-14,0,1,2
1913_5_15_424264.txt,1913-05-15,0,1,3
1913_5_17_424266.txt,1913-05-17,0,1,5
1913_5_20_424270.txt,1913-05-20,0,1,1
1913_5_21_424271.txt,1913-05-21,0,1,2
1913_5_24_424274.txt,1913-05-24,0,1,5
1913_5_26_424277.txt,1913-05-26,0,1,0
1913_5_27_424278.txt,1913-05-27,0,1,1
1913_5_28_424279.txt,1913-05-28,0,1,2
1913_6_4_424287.txt,1913-06-04,0,1,2
1913_6_9_424293.txt,1913-06-09,0,1,0
1913_6_14_424298.txt,1913-06-14,0,1,5
1913_6_16_424302.txt,1913-06-16,0,1,0
1913_6_21_424307.txt,1913-06-21,0,1,5
1913_6_23_424310.txt,1913-06-23,0,1,0
1913_6_24_424311.txt,1913-06-24,0,1,1
1913_6_27_424314.txt,1913-06-27,0,1,4
1913_7_1_424319.txt,1913-07-01,0,1,1
1913_7_4_424322.txt,1913-07-04,0,1,4
1913_7_5_424323.txt,1913-07-05,0,1,5
1913_7_10_424329.txt,1913-07-10,0,1,3
1913_7_11_424330.txt,1913-07-11,0,1,4
1913_7_12_424331.txt,1913-07-12,0,1,5
1913_7_17_424337.txt,1913-07-17,0,1,3
1913_7_23_424344.txt,1913-07-23,0,1,2
1913_7_24_424345.txt,1913-07-24,0,1,3
1913_7_29_424351.txt,1913-07-29,0,1,1
1913_8_7_424361.txt,1913-08-07,0,1,3
1913_8_12_424367.txt,1913-08-12,0,1,1
1913_8_13_424368.txt,1913-08-13,0,1,2
1913_8_14_424369.txt,1913-08-14,0,1,3
1913_8_25_424382.txt,1913-08-25,0,1,0
1913_8_26_424384.txt,1913-08-26,0,1,1
1913_8_29_424387.txt,1913-08-29,0,1,4
1913_8_30_424388.txt,1913-08-30,0,1,5
1913_9_4_424394.txt,1913-09-04,0,1,3
1913_9_5_424395.txt,1913-09-05,0,1,4
1913_9_13_424404.txt,1913-09-13,0,1,5
1913_9_15_424407.txt,1913-09-15,0,1,0
1913_9_18_424410.txt,1913-09-18,0,1,3
1913_9_19_424411.txt,1913-09-19,0,1,4
1913_9_24_424417.txt,1913-09-24,0,1,2
1913_9_26_424419.txt,1913-09-26,0,1,4
1913_9_30_424424.txt,1913-09-30,0,1,1
1913_10_1_424425.txt,1913-10-01,0,1,2
1913_10_3_424427.txt,1913-10-03,0,1,4
1913_10_6_424431.txt,1913-10-06,0,1,0
1913_10_7_424432.txt,1913-10-07,0,1,1
1913_10_8_424433.txt,1913-10-08,0,1,2
1913_10_10_424435.txt,1913-10-10,0,1,4
1913_10_11_424436.txt,1913-10-11,0,1,5
1913_10_14_424440.txt,1913-10-14,0,1,1
1913_10_15_424441.txt,1913-10-15,0,1,2
1913_10_18_424444.txt,1913-10-18,0,1,5
1913_10_20_424447.txt,1913-10-20,0,1,0
1913_10_23_424450.txt,1913-10-23,0,1,3
1913_11_3_424463.txt,1913-11-03,0,1,0
1913_11_4_424464.txt,1913-11-04,0,1,1
1913_11_10_424471.txt,1913-11-10,0,1,0
1913_11_14_424475.txt,1913-11-14,0,1,4
1913_11_15_424476.txt,1913-11-15,0,1,5
1913_11_17_424479.txt,1913-11-17,0,1,0
1913_11_19_424481.txt,1913-11-19,0,1,2
1913_11_25_424488.txt,1913-11-25,0,1,1
1913_11_29_424492.txt,1913-11-29,0,1,5
1913_12_5_424499.txt,1913-12-05,0,1,4
1913_12_10_424505.txt,1913-12-10,0,1,2
1913_12_11_424506.txt,1913-12-11,0,1,3
1913_12_17_424513.txt,1913-12-17,0,1,2
1913_12_19_424515.txt,1913-12-19,0,1,4
1913_12_25_424523.txt,1913-12-25,0,1,3
1913_12_27_424524.txt,1913-12-27,0,1,5
1913_12_29_424527.txt,1913-12-29,0,1,0
1913_12_31_424529.txt,1913-12-31,0,1,2
1914_3_3_424579.txt,1914-03-03,0,1,1
1914_3_4_424580.txt,1914-03-04,0,1,2
1914_3_9_424586.txt,1914-03-09,0,1,0
1914_3_10_424587.txt,1914-03-10,0,1,1
1914_3_11_424588.txt,1914-03-11,0,1,2
1914_3_12_424589.txt,1914-03-12,0,1,3
1914_3_14_424591.txt,1914-03-14,0,1,5
1914_3_16_424594.txt,1914-03-16,0,1,0
1914_3_20_424598.txt,1914-03-20,0,1,4
1914_3_24_424603.txt,1914-03-24,0,1,1
1914_3_25_424604.txt,1914-03-25,0,1,2
1914_4_2_424613.txt,1914-04-02,0,1,3
1914_4_3_424614.txt,1914-04-03,0,1,4
1914_4_9_424620.txt,1914-04-09,0,1,3
1914_10_7_427637.txt,1914-10-07,0,1,2
1914_10_10_427640.txt,1914-10-10,0,1,5
1914_10_11_427641.txt,1914-10-11,0,1,6
1914_10_12_427642.txt,1914-10-12,0,1,0
1914_10_13_427643.txt,1914-10-13,0,1,1
1914_10_15_427645.txt,1914-10-15,0,1,3
1914_10_16_427646.txt,1914-10-16,0,1,4
1914_10_22_427652.txt,1914-10-22,0,1,3
1914_10_25_427655.txt,1914-10-25,0,1,6
1914_10_26_427656.txt,1914-10-26,0,1,0
1914_10_29_427659.txt,1914-10-29,0,1,3
1914_11_1_427662.txt,1914-11-01,0,1,6
1914_11_2_427663.txt,1914-11-02,0,1,0
1914_11_4_427665.txt,1914-11-04,0,1,2
1914_11_5_427666.txt,1914-11-05,0,1,3
1914_11_7_427668.txt,1914-11-07,0,1,5
1914_11_13_427674.txt,1914-11-13,0,1,4
1914_11_14_427675.txt,1914-11-14,0,1,5
1914_11_15_427676.txt,1914-11-15,0,1,6
1914_11_19_427680.txt,1914-11-19,0,1,3
1914_11_22_427683.txt,1914-11-22,0,1,6
1914_11_25_427686.txt,1914-11-25,0,1,2
1914_11_27_427688.txt,1914-11-27,0,1,4
1914_12_2_427694.txt,1914-12-02,0,1,2
1914_12_3_427695.txt,1914-12-03,0,1,3
1914_12_6_427698.txt,1914-12-06,0,1,6
1914_12_7_427699.txt,1914-12-07,0,1,0
1914_12_9_427701.txt,1914-12-09,0,1,2
1914_12_11_427703.txt,1914-12-11,0,1,4
1914_12_15_427708.txt,1914-12-15,0,1,1
1914_12_16_427709.txt,1914-12-16,0,1,2
1914_12_18_427711.txt,1914-12-18,0,1,4
1914_12_19_427712.txt,1914-12-19,0,1,5
1914_12_22_427716.txt,1914-12-22,0,1,1
1914_12_24_427718.txt,1914-12-24,0,1,3
1914_12_29_427721.txt,1914-12-29,0,1,1
1914_12_31_427723.txt,1914-12-31,0,1,3
1915_1_4_427728.txt,1915-01-04,0,1,0
1915_1_5_427729.txt,1915-01-05,0,1,1
1915_1_13_427738.txt,1915-01-13,0,1,2
1915_1_14_427739.txt,1915-01-14,0,1,3
1915_1_16_427741.txt,1915-01-16,0,1,5
1915_1_20_427746.txt,1915-01-20,0,1,2
1915_1_21_427747.txt,1915-01-21,0,1,3
1915_1_26_427753.txt,1915-01-26,0,1,1
1915_1_27_427754.txt,1915-01-27,0,1,2
1915_1_29_427756.txt,1915-01-29,0,1,4
1915_1_30_427757.txt,1915-01-30,0,1,5
1915_2_1_427760.txt,1915-02-01,0,1,0
1915_2_2_427761.txt,1915-02-02,0,1,1
1915_2_3_427762.txt,1915-02-03,0,1,2
1915_2_9_427769.txt,1915-02-09,0,1,1
1915_2_10_427770.txt,1915-02-10,0,1,2
1915_2_13_427773.txt,1915-02-13,0,1,5
1915_2_20_427781.txt,1915-02-20,0,1,5
1915_2_25_427787.txt,1915-02-25,0,1,3
1915_2_26_427788.txt,1915-02-26,0,1,4
1915_3_1_427792.txt,1915-03-01,0,1,0
1915_3_13_427805.txt,1915-03-13,0,1,5
1915_3_15_427809.txt,1915-03-15,0,1,0
1915_3_16_427810.txt,1915-03-16,0,1,1
1915_3_18_427812.txt,1915-03-18,0,1,3
1915_3_20_427814.txt,1915-03-20,0,1,5
1915_3_27_427822.txt,1915-03-27,0,1,5
1915_4_3_427829.txt,1915-04-03,0,1,5
1915_4_15_427842.txt,1915-04-15,0,1,3
1915_4_17_427844.txt,1915-04-17,0,1,5
1915_4_20_427848.txt,1915-04-20,0,1,1
1915_5_5_427865.txt,1915-05-05,0,1,2
1915_5_7_427867.txt,1915-05-07,0,1,4
1915_5_18_427967.txt,1915-05-18,0,1,1
1915_5_20_427969.txt,1915-05-20,0,1,3
1915_5_22_427971.txt,1915-05-22,0,1,5
1915_5_31_427981.txt,1915-05-31,0,1,0
1915_6_2_427983.txt,1915-06-02,0,1,2
1915_6_8_427990.txt,1915-06-08,0,1,1
1915_6_10_427992.txt,1915-06-10,0,1,3
1915_6_14_427997.txt,1915-06-14,0,1,0
1915_6_15_427998.txt,1915-06-15,0,1,1
1915_6_18_428001.txt,1915-06-18,0,1,4
1915_6_26_428010.txt,1915-06-26,0,1,5
1915_6_29_428014.txt,1915-06-29,0,1,1
1915_7_2_428017.txt,1915-07-02,0,1,4
1915_7_5_428021.txt,1915-07-05,0,1,0
1915_7_12_428029.txt,1915-07-12,0,1,0
1915_7_21_428039.txt,1915-07-21,0,1,2
1915_7_26_428045.txt,1915-07-26,0,1,0
1915_8_3_428055.txt,1915-08-03,0,1,1
1915_8_9_428062.txt,1915-08-09,0,1,0
1915_8_11_428064.txt,1915-08-11,0,1,2
1915_8_12_428065.txt,1915-08-12,0,1,3
1915_8_13_428066.txt,1915-08-13,0,1,4
1915_8_16_428070.txt,1915-08-16,0,1,0
1915_8_24_428079.txt,1915-08-24,0,1,1
1915_8_25_428080.txt,1915-08-25,0,1,2
